AE;Code SANDRE de la station;Nom de la station;Réseaux de mesure;RCS;RCO;RRP;RCB/RCR;CoordX;CoordY;ECHELLESTA COMITER;Contexte piscicole;TYPEFR_CONSOLIDE;Code Masse d'eau;Type de station;AREA_KM2_ME
AERMC;06580713;GLANDON A STE-MARIE-DE-CUINES ;;NON;NON;NON;;;;;;MP2;FRDR359;;
AERMC;06580713;GLANDON A STE-MARIE-DE-CUINES ;;NON;NON;NON;;;;;;MP2;FRDR359;;
AERMC;06580714;DOUZET A ST-AGREVE 1;;NON;NON;NON;;;;;;PTP8;FRDR10848;;
AERMC;06580715;DOUX A LAMASTRE 6;;NON;NON;NON;;;;;;PTP8;FRDR454;;
AERMC;06580716;GROZON A SAINT-BARTHELEMY-GROZON 1;;NON;NON;NON;;;;;;PTP8;FRDR11175;;
AERMC;06580717;DUZON A ST-SYLVESTRE 1;;NON;NON;NON;;;;;;PTP8;FRDR11799;;
AERMC;06580718;ORMEZE A GILHOC-SUR-ORMEZE 1;;NON;NON;NON;;;;;;PTP8;FRDR11799;;
AERMC;06580719;CANCE A ST-JULIEN-VOCANCE 2;;NON;NON;NON;;;;;;TP3;FRDR461a;;
AERMC;06580720;CHASSEZAC A LES-SALELLES ;;NON;NON;NON;;;;;;GM8;FRDR413b;;
AERMC;06580721;SURE A CHAMBONAS ;;NON;NON;NON;;;;;;PTP8;FRDR11192;;
AERMC;06580723;CHASSEZAC A BERRIAS-ET-CASTELJAU 1;;NON;NON;NON;;;;;;GM8;FRDR413c;;
AERMC;06580724;CHASSEZAC A BERRIAS-ET-CASTELJAU 2;;NON;NON;NON;;;;;;GM8;FRDR413c;;
AERMC;06580724;CHASSEZAC A BERRIAS-ET-CASTELJAU 2;;OUI;NON;NON;;;;;;GM8;FRDR413c;;
AERMC;06580724;CHASSEZAC A BERRIAS-ET-CASTELJAU 2;;NON;OUI;NON;;;;;;GM8;FRDR413c;;
AERMC;06580724;CHASSEZAC A BERRIAS-ET-CASTELJAU 2;;NON;NON;NON;;;;;;GM8;FRDR413c;;
AERMC;06580724;CHASSEZAC A BERRIAS-ET-CASTELJAU 2;;NON;NON;NON;;;;;;GM8;FRDR413c;;
AERMC;06580725;CHASSEZAC A ST-ALBAN-AURIOLLES 2;;NON;NON;NON;;;;;;GM8;FRDR413c;;
AERMC;06580726;FONTAINES A ST-ALBAN-AURIOLLES ;;NON;NON;NON;;;;;;PTP8;;;
AERMC;06580727;NANT A SATILLIEU ;;NON;NON;NON;;;;;;TP3;FRDR10766;;
AERMC;06580728;AY A ST-ROMAIN-D'AY 1;;NON;NON;NON;;;;;;P3;FRDR459;;
AERMC;06580729;AY A ARDOIX ;;NON;NON;NON;;;;;;P3;FRDR459;;
AERMC;06580730;OUVEZE A MONTAUBAN-SUR-L'OUVEZE ;;NON;NON;NON;;;;;;TP7;FRDR2034a;;
AERMC;06580731;OUVEZE A ST-AUBAN-SUR-L'OUVEZE ;;NON;NON;NON;;;;;;TP7;FRDR2034a;;
AERMC;06580732;OUVEZE A VERCOIRAN ;;NON;NON;NON;;;;;;TP7;FRDR2034a;;
AERMC;06580733;OUVEZE A BUIS-LES-BARONNIES 2;;NON;NON;NON;;;;;;TP7;FRDR2034a;;
AERMC;06580734;OUVEZE A BUIS-LES-BARONNIES 1;;NON;NON;NON;;;;;;TP7;FRDR2034b;;
AERMC;06580735;OUVEZE A MOLLANS-SUR-OUVEZE 1;;NON;NON;NON;;;;;;TP7;FRDR2034b;;
AERMC;06580736;OUVEZE A MOLLANS-SUR-OUVEZE 2;;NON;NON;NON;;;;;;TP7;FRDR2034b;;
AERMC;06580737;OUVEZE A ENTRECHAUX ;;NON;NON;NON;;;;;;GM6/2-7;FRDR390;;
AERMC;06580738;OUVEZE A CRESTET ;;NON;NON;NON;;;;;;GM6/2-7;FRDR390;;
AERMC;06580739;OUVEZE A VAISON-LA-ROMAINE 2;;NON;NON;NON;;;;;;GM6/2-7;FRDR390;;
AERMC;06580740;OUVEZE A RASTEAU 1;;NON;NON;NON;;;;;;GM6/2-7;FRDR390;;
